Ville,Postes,Couleur
AGEN,2,noir
AIX-EN-PROVENCE,1,noir
AJACCIO,1,noir
ALBERTVILLE,1,vert
ALBI,2,vert
ALENCON,2,vert
ALES,1,rouge
AMIENS,2,noir
ANGERS,4,noir
ANGOULEME,2,noir
ANNECY,1,noir
ARGENTAN,1,vert
ARRAS,3,noir
AUCH,1,vert
AUXERRE,2,vert
AVESNES-SUR-HELPE,2,vert
AVIGNON,2,noir
BAR-LE-DUC,1,vert
BASTIA,2,noir
BAYONNE,3,noir
BEAUVAIS,3,vert
BELFORT,1,rouge
BERGERAC,1,noir
BESANCON,3,noir
BETHUNE,3,rouge
BEZIERS,2,rouge
BLOIS,1,noir
BOBIGNY,3,noir
BONNEVILLE,1,vert
BOULOGNE-SUR-MER,4,vert
BOURG-EN-BRESSE,4,rouge
BOURGES,2,rouge
BOURGOIN-JALLIEU,1,noir
BREST,2,rouge
BRIVE-LA-GAILLARDE,2,vert
CAEN,3,noir
CAHORS,1,vert
CARPENTRAS,2,rouge
CASTRES,1,vert
CHALONS-EN-CHAMPAGNE,2,rouge
CHALON-SUR-SAONE,2,noir
CHAMBERY,1,rouge
CHARLEVILLE-MEZIERES,2,vert
CHARTRES,3,noir
CHATEAUROUX,2,vert
CHERBOURG,1,rouge
CLERMONT-FERRAND,4,vert
COLMAR,3,noir
COMPIEGNE,1,rouge
COUTANCES,2,vert
CRETEIL,5,noir
CUSSET,1,vert
DIEPPE,1,rouge
DIGNE-LES-BAINS,1,vert
DIJON,2,noir
DOUAI,2,noir
DRAGUIGNAN,4,rouge
DUNKERQUE,3,rouge
EVREUX,2,rouge
EVRY,4,rouge
GAP,1,vert
GRASSE,4,rouge
GRENOBLE,3,noir
LA ROCHELLE,1,noir
LA ROCHE-SUR-YON,2,rouge
LAON,2,vert
LAVAL,1,rouge
LE HAVRE,3,rouge
LE MANS,3,rouge
LE PUY-EN-VELAY,1,vert
LES SABLES-D'OLONNE,1,vert
LILLE,6,rouge
LIMOGES,3,vert
LISIEUX,2,vert
LONS-LE-SAUNIER,2,vert
LORIENT,2,noir
LYON,5,rouge
MACON,1,noir
MARSEILLE,7,rouge
MEAUX,3,noir
MELUN,1,noir
METZ,4,vert
MONTARGIS,1,vert
MONTAUBAN,1,noir
MONTBELIARD,1,rouge
MONT-DE-MARSAN,1,rouge
MONTPELLIER,2,noir
MOULINS,1,vert
MULHOUSE,3,rouge
NANCY,4,vert
NANTERRE,5,noir
NARBONNE,2,rouge
NEVERS,2,vert
NICE,4,noir
NIMES,2,noir
NIORT,1,vert
ORLEANS,3,noir
PARIS,1,noir
PAU,3,vert
PERIGUEUX,2,rouge
PERPIGNAN,4,vert
POITIERS,4,rouge
PONTOISE,6,rouge
PRIVAS,2,vert
QUIMPER,2,rouge
REIMS,3,noir
RENNES,2,noir
ROANNE,1,vert
RODEZ,2,vert
ROUEN,4,rouge
SAINT-BRIEUC,3,vert
SAINTES,2,rouge
SAINT-ETIENNE,3,rouge
SAINT-MALO,1,noir
SAINT-NAZAIRE,3,vert
SAINT-OMER,1,rouge
SAINT-QUENTIN,1,rouge
SARREGUEMINES,1,rouge
SAVERNE,1,rouge
SENLIS,2,vert
SOISSONS,1,vert
STRASBOURG,4,noir
TARASCON,1,noir
TARBES,2,vert
THIONVILLE,2,vert
THONON-LES-BAINS,2,rouge
TOULON,4,rouge
TOULOUSE,3,rouge
TOURS,4,noir
TROYES,3,rouge
TULLE,1,vert
VALENCE,3,noir
VALENCIENNES,3,rouge
VANNES,1,noir
VERSAILLES,2,noir
VESOUL,1,vert
VIENNE,1,noir
VILLEFRANCHE-SUR-SAONE,2,noir
