Ville,Postes,Couleur,nombre_voeux_1,nombre_voeux_2,nombre_voeux_3,nombre_voeux_4,nombre_voeux_5,nombre_voeux_6,nombre_voeux_7,total_demandes
AGEN,2,noir,1.0,6.0,2.0,1.0,,,,10.0
AIX-EN-PROVENCE,1,noir,2.0,5.0,6.0,1.0,,,,14.0
AJACCIO,1,noir,3.0,2.0,,1.0,,,,6.0
ALBERTVILLE,1,vert,,,,1.0,,3.0,,4.0
ALBI,2,vert,2.0,,,2.0,2.0,3.0,,9.0
ALENCON,2,vert,,1.0,1.0,1.0,,1.0,,4.0
ALES,1,rouge,,,,1.0,1.0,,,2.0
AMIENS,2,noir,3.0,5.0,4.0,,,1.0,,13.0
ANGERS,4,noir,14.0,13.0,3.0,1.0,,,,31.0
ANGOULEME,2,noir,8.0,2.0,1.0,,,,,11.0
ANNECY,1,noir,3.0,,1.0,,1.0,,,5.0
ARGENTAN,1,vert,,,1.0,1.0,,,,2.0
ARRAS,3,noir,8.0,2.0,2.0,3.0,1.0,,,16.0
AUCH,1,vert,1.0,,,,1.0,1.0,,3.0
AUXERRE,2,vert,,,2.0,,3.0,3.0,,8.0
AVESNES-SUR-HELPE,2,vert,,,,,1.0,4.0,,5.0
AVIGNON,2,noir,5.0,11.0,4.0,4.0,1.0,,,25.0
BAR-LE-DUC,1,vert,1.0,,,,,,,1.0
BASTIA,2,noir,4.0,3.0,2.0,,,,,9.0
BAYONNE,3,noir,3.0,6.0,2.0,1.0,,1.0,,13.0
BEAUVAIS,3,vert,,1.0,2.0,1.0,17.0,14.0,,35.0
BELFORT,1,rouge,1.0,,2.0,1.0,,1.0,,5.0
BERGERAC,1,noir,1.0,1.0,1.0,,,1.0,,4.0
BESANCON,3,noir,8.0,4.0,3.0,,1.0,,,16.0
BETHUNE,3,rouge,2.0,2.0,2.0,4.0,1.0,,,11.0
BEZIERS,2,rouge,1.0,1.0,3.0,4.0,4.0,1.0,,14.0
BLOIS,1,noir,1.0,1.0,,,,,,2.0
BOBIGNY,3,noir,5.0,4.0,3.0,2.0,,,,14.0
BONNEVILLE,1,vert,,,,,2.0,,,2.0
BOULOGNE-SUR-MER,4,vert,1.0,,2.0,,18.0,28.0,,49.0
BOURG-EN-BRESSE,4,rouge,4.0,6.0,4.0,3.0,3.0,2.0,,22.0
BOURGES,2,rouge,1.0,,,4.0,1.0,,,6.0
BOURGOIN-JALLIEU,1,noir,,3.0,,1.0,,,,4.0
BREST,2,rouge,1.0,1.0,3.0,5.0,,,,10.0
BRIVE-LA-GAILLARDE,2,vert,,,,2.0,1.0,1.0,,4.0
CAEN,3,noir,1.0,4.0,4.0,4.0,2.0,,,15.0
CAHORS,1,vert,,1.0,,,1.0,1.0,,3.0
CARPENTRAS,2,rouge,2.0,,4.0,1.0,1.0,,,8.0
CASTRES,1,vert,,,,,1.0,4.0,,5.0
CHALONS-EN-CHAMPAGNE,2,rouge,2.0,,3.0,1.0,1.0,,,7.0
CHALON-SUR-SAONE,2,noir,3.0,2.0,2.0,,,,,7.0
CHAMBERY,1,rouge,2.0,1.0,,,1.0,1.0,,5.0
CHARLEVILLE-MEZIERES,2,vert,,,,,,2.0,,2.0
CHARTRES,3,noir,,4.0,2.0,2.0,,,,8.0
CHATEAUROUX,2,vert,,,,,,2.0,,2.0
CHERBOURG,1,rouge,1.0,1.0,,,,,,2.0
CLERMONT-FERRAND,4,vert,1.0,4.0,2.0,5.0,21.0,17.0,,50.0
COLMAR,3,noir,4.0,6.0,4.0,2.0,,,,16.0
COMPIEGNE,1,rouge,,1.0,,2.0,,1.0,,4.0
COUTANCES,2,vert,1.0,1.0,,,8.0,6.0,,16.0
CRETEIL,5,noir,8.0,12.0,4.0,1.0,,,,25.0
CUSSET,1,vert,,,,,,,,0.0
DIEPPE,1,rouge,,1.0,,,,,,1.0
DIGNE-LES-BAINS,1,vert,,1.0,,1.0,,6.0,,8.0
DIJON,2,noir,1.0,5.0,4.0,1.0,1.0,,,12.0
DOUAI,2,noir,1.0,3.0,2.0,3.0,,,,9.0
DRAGUIGNAN,4,rouge,3.0,1.0,4.0,2.0,2.0,,,12.0
DUNKERQUE,3,rouge,1.0,5.0,3.0,5.0,,1.0,,15.0
EVREUX,2,rouge,3.0,,1.0,1.0,,1.0,,6.0
EVRY,4,rouge,2.0,1.0,8.0,13.0,,,,24.0
GAP,1,vert,,,1.0,,4.0,6.0,,11.0
GRASSE,4,rouge,3.0,3.0,1.0,6.0,,,,13.0
GRENOBLE,3,noir,5.0,3.0,3.0,3.0,1.0,,,15.0
LA ROCHELLE,1,noir,2.0,5.0,1.0,,,1.0,,9.0
LA ROCHE-SUR-YON,2,rouge,1.0,2.0,1.0,4.0,,,,8.0
LAON,2,vert,1.0,1.0,,,1.0,3.0,,6.0
LAVAL,1,rouge,,1.0,2.0,2.0,,1.0,,6.0
LE HAVRE,3,rouge,3.0,4.0,4.0,6.0,3.0,1.0,,21.0
LE MANS,3,rouge,1.0,2.0,6.0,8.0,3.0,1.0,,21.0
LE PUY-EN-VELAY,1,vert,,,,,3.0,5.0,,8.0
LES SABLES-D'OLONNE,1,vert,,,,,8.0,9.0,,17.0
LILLE,6,rouge,7.0,15.0,12.0,19.0,2.0,2.0,,57.0
LIMOGES,3,vert,,,,2.0,6.0,8.0,,16.0
LISIEUX,2,vert,,,,,4.0,1.0,,5.0
LONS-LE-SAUNIER,2,vert,,,3.0,2.0,4.0,5.0,,14.0
LORIENT,2,noir,5.0,5.0,,1.0,,,,11.0
LYON,5,rouge,9.0,1.0,6.0,13.0,1.0,,,30.0
MACON,1,noir,1.0,1.0,1.0,1.0,,,,4.0
MARSEILLE,7,rouge,20.0,5.0,9.0,6.0,1.0,,,41.0
MEAUX,3,noir,7.0,4.0,3.0,,,1.0,,15.0
MELUN,1,noir,2.0,,,,,,,2.0
METZ,4,vert,,,4.0,3.0,14.0,23.0,,44.0
MONTARGIS,1,vert,,,,,,,,0.0
MONTAUBAN,1,noir,3.0,3.0,1.0,1.0,,,,8.0
MONTBELIARD,1,rouge,,3.0,,,,,,3.0
MONT-DE-MARSAN,1,rouge,,,1.0,3.0,,2.0,,6.0
MONTPELLIER,2,noir,4.0,2.0,3.0,1.0,,,,10.0
MOULINS,1,vert,,,,,1.0,1.0,,2.0
MULHOUSE,3,rouge,,4.0,4.0,1.0,2.0,2.0,,13.0
NANCY,4,vert,,2.0,5.0,8.0,44.0,36.0,,95.0
NANTERRE,5,noir,8.0,12.0,3.0,1.0,,,,24.0
NARBONNE,2,rouge,1.0,3.0,3.0,5.0,1.0,1.0,,14.0
NEVERS,2,vert,1.0,,,1.0,1.0,,,3.0
NICE,4,noir,1.0,12.0,7.0,1.0,1.0,,,22.0
NIMES,2,noir,3.0,6.0,4.0,2.0,1.0,,,16.0
NIORT,1,vert,,,,2.0,4.0,4.0,,10.0
ORLEANS,3,noir,2.0,6.0,4.0,1.0,1.0,,,14.0
PARIS,1,noir,3.0,1.0,,3.0,,,,7.0
PAU,3,vert,,1.0,5.0,5.0,18.0,15.0,,44.0
PERIGUEUX,2,rouge,1.0,1.0,4.0,3.0,4.0,,,13.0
PERPIGNAN,4,vert,4.0,1.0,4.0,2.0,15.0,10.0,,36.0
POITIERS,4,rouge,5.0,2.0,10.0,9.0,1.0,,,27.0
PONTOISE,6,rouge,6.0,5.0,16.0,12.0,,,,39.0
PRIVAS,2,vert,,,2.0,1.0,5.0,1.0,,9.0
QUIMPER,2,rouge,1.0,2.0,1.0,4.0,,1.0,,9.0
REIMS,3,noir,7.0,3.0,3.0,1.0,,1.0,,15.0
RENNES,2,noir,6.0,4.0,7.0,,,,,17.0
ROANNE,1,vert,,,,,2.0,2.0,,4.0
RODEZ,2,vert,,,,,,,,0.0
ROUEN,4,rouge,4.0,,9.0,5.0,1.0,1.0,,20.0
SAINT-BRIEUC,3,vert,,1.0,,,1.0,2.0,,4.0
SAINTES,2,rouge,,1.0,5.0,3.0,1.0,,,10.0
SAINT-ETIENNE,3,rouge,1.0,3.0,5.0,7.0,,1.0,,17.0
SAINT-MALO,1,noir,2.0,,1.0,,,1.0,,4.0
SAINT-NAZAIRE,3,vert,1.0,,1.0,5.0,23.0,20.0,,50.0
SAINT-OMER,1,rouge,,1.0,,,,,,1.0
SAINT-QUENTIN,1,rouge,,1.0,,1.0,1.0,,,3.0
SARREGUEMINES,1,rouge,,,2.0,,,,,2.0
SAVERNE,1,rouge,2.0,1.0,1.0,2.0,1.0,,,7.0
SENLIS,2,vert,1.0,,1.0,2.0,7.0,10.0,,21.0
SOISSONS,1,vert,,,1.0,,1.0,4.0,,6.0
STRASBOURG,4,noir,11.0,4.0,4.0,2.0,,,,21.0
TARASCON,1,noir,,,1.0,1.0,,,,2.0
TARBES,2,vert,,1.0,,,2.0,4.0,,7.0
THIONVILLE,2,vert,,,,1.0,,1.0,,2.0
THONON-LES-BAINS,2,rouge,,1.0,1.0,2.0,1.0,,,5.0
TOULON,4,rouge,10.0,2.0,7.0,13.0,4.0,,,36.0
TOULOUSE,3,rouge,3.0,4.0,7.0,9.0,,2.0,,25.0
TOURS,4,noir,8.0,13.0,1.0,2.0,,,,24.0
TROYES,3,rouge,,1.0,2.0,8.0,3.0,3.0,,17.0
TULLE,1,vert,,,,,,,,0.0
VALENCE,3,noir,5.0,3.0,2.0,2.0,,,,12.0
VALENCIENNES,3,rouge,2.0,1.0,2.0,1.0,,,,6.0
VANNES,1,noir,1.0,1.0,,1.0,1.0,,,4.0
VERSAILLES,2,noir,3.0,3.0,,1.0,,,,7.0
