Ville,Demande totale,Voeu 1,Voeu 2,Voeu 3,Voeu 4,Voeu 5,Voeu 6,Autres
MARSEILLE,41,20,5,9,6,1,0,0
ANGERS,31,14,13,3,1,0,0,0
STRASBOURG,21,11,4,4,2,0,0,0
TOULON,36,10,2,7,13,4,0,0
LYON,30,9,1,6,13,1,0,0
TOURS,24,8,13,1,2,0,0,0
CRETEIL,25,8,12,4,1,0,0,0
NANTERRE,24,8,12,3,1,0,0,0
BESANCON,16,8,4,3,0,1,0,0
ARRAS,16,8,2,2,3,1,0,0
ANGOULEME,11,8,2,1,0,0,0,0
LILLE,57,7,15,12,19,2,2,0
MEAUX,15,7,4,3,0,0,1,0
REIMS,15,7,3,3,1,0,1,0
PONTOISE,39,6,5,16,12,0,0,0
RENNES,17,6,4,7,0,0,0,0
VILLEFRANCHE-SUR-SAONE,9,6,1,1,1,0,0,0
AVIGNON,25,5,11,4,4,1,0,0
LORIENT,11,5,5,0,1,0,0,0
BOBIGNY,14,5,4,3,2,0,0,0
GRENOBLE,15,5,3,3,3,1,0,0
VALENCE,12,5,3,2,2,0,0,0
POITIERS,27,5,2,10,9,1,0,0
BOURG-EN-BRESSE,22,4,6,4,3,3,2,0
COLMAR,16,4,6,4,2,0,0,0
BASTIA,9,4,3,2,0,0,0,0
MONTPELLIER,10,4,2,3,1,0,0,0
PERPIGNAN,36,4,1,4,2,15,10,0
ROUEN,20,4,0,9,5,1,1,0
NIMES,16,3,6,4,2,1,0,0
BAYONNE,13,3,6,2,1,0,1,0
AMIENS,13,3,5,4,0,0,1,0
TOULOUSE,25,3,4,7,9,0,2,0
LE HAVRE,21,3,4,4,6,3,1,0
GRASSE,13,3,3,1,6,0,0,0
MONTAUBAN,8,3,3,1,1,0,0,0
VERSAILLES,7,3,3,0,1,0,0,0
CHALON-SUR-SAONE,7,3,2,2,0,0,0,0
AJACCIO,6,3,2,0,1,0,0,0
DRAGUIGNAN,12,3,1,4,2,2,0,0
PARIS,7,3,1,0,3,0,0,0
EVREUX,6,3,0,1,1,0,1,0
ANNECY,5,3,0,1,0,1,0,0
ORLEANS,14,2,6,4,1,1,0,0
AIX-EN-PROVENCE,14,2,5,6,1,0,0,0
LA ROCHELLE,9,2,5,1,0,0,1,0
BETHUNE,11,2,2,2,4,1,0,0
EVRY,24,2,1,8,13,0,0,0
VALENCIENNES,6,2,1,2,1,0,0,0
SAVERNE,7,2,1,1,2,1,0,0
CHAMBERY,5,2,1,0,0,1,1,0
CARPENTRAS,8,2,0,4,1,1,0,0
CHALONS-EN-CHAMPAGNE,7,2,0,3,1,1,0,0
SAINT-MALO,4,2,0,1,0,0,1,0
ALBI,9,2,0,0,2,2,3,0
MELUN,2,2,0,0,0,0,0,0
NICE,22,1,12,7,1,1,0,0
AGEN,10,1,6,2,1,0,0,0
DIJON,12,1,5,4,1,1,0,0
DUNKERQUE,15,1,5,3,5,0,1,0
CAEN,15,1,4,4,4,2,0,0
CLERMONT-FERRAND,50,1,4,2,5,21,17,0
SAINT-ETIENNE,17,1,3,5,7,0,1,0
NARBONNE,14,1,3,3,5,1,1,0
DOUAI,9,1,3,2,3,0,0,0
LE MANS,21,1,2,6,8,3,1,0
QUIMPER,9,1,2,1,4,0,1,0
