Identifiant,Ville obtenue,Rang du voeu satisfait,Voeu 1,Voeu 2,Voeu 3,Voeu 4,Voeu 5,Voeu 6
45,AGEN,1,AGEN,MONTAUBAN,BEZIERS,PAU,TARBES,PERPIGNAN
59,AGEN,2,ANGOULEME,AGEN,PERIGUEUX,POITIERS,PAU,LIMOGES
227,AIX-EN-PROVENCE,1,AIX-EN-PROVENCE,AVIGNON,MARSEILLE,TOULOUSE,NANCY,METZ
254,AJACCIO,1,AJACCIO,TOULON,BASTIA,MARSEILLE,PAU,DIGNE-LES-BAINS
263,ALBERTVILLE,4,PARIS,BOBIGNY,SAVERNE,ALBERTVILLE,CLERMONT-FERRAND,PAU
60,ALBI,4,TOULOUSE,MONTAUBAN,AGEN,ALBI,CASTRES,CAHORS
139,ALBI,5,NIMES,NICE,NARBONNE,QUIMPER,ALBI,PAU
159,ALENCON,2,AMIENS,ALENCON,BEAUVAIS,CHARTRES,LE MANS,SENLIS
195,ALENCON,6,EVREUX,AMIENS,CAEN,ROUEN,COUTANCES,ALENCON
48,ALES,4,MONTPELLIER,BEZIERS,NIMES,ALES,PERPIGNAN,CASTRES
126,AMIENS,1,AMIENS,MEAUX,TROYES,VALENCIENNES,BEAUVAIS,NANCY
271,AMIENS,2,REIMS,AMIENS,ROUEN,PONTOISE,NANCY,METZ
128,ANGERS,1,ANGERS,TOURS,POITIERS,TROYES,NANCY,SAINT-NAZAIRE
149,ANGERS,1,ANGERS,STRASBOURG,POITIERS,LILLE,NANCY,METZ
226,ANGERS,1,ANGERS,TOURS,LE HAVRE,LE MANS,NANCY,SAINT-NAZAIRE
255,ANGERS,1,ANGERS,TOURS,ROUEN,BREST,SAINT-NAZAIRE,BOULOGNE-SUR-MER
58,ANGOULEME,1,ANGOULEME,LA ROCHELLE,POITIERS,SAINTES,PAU,LIMOGES
241,ANGOULEME,1,ANGOULEME,POITIERS,TOULOUSE,SAINTES,PAU,NIORT
245,ANNECY,1,ANNECY,NIMES,LYON,NARBONNE,CLERMONT-FERRAND,PERPIGNAN
140,ARGENTAN,4,COUTANCES,CHERBOURG,ALENCON,ARGENTAN,CAEN,LAVAL
77,ARRAS,1,ARRAS,REIMS,DUNKERQUE,SENLIS,TROYES,BOULOGNE-SUR-MER
142,ARRAS,1,ARRAS,LILLE,DUNKERQUE,CRETEIL,NANCY,BOULOGNE-SUR-MER
