1;ARRAS;SAINT-QUENTIN;BEAUVAIS;COMPIEGNE;BETHUNE;BOULOGNE-SUR-MER
2;CHALON-SUR-SAONE;MONTBELIARD;LONS-LE-SAUNIER;COLMAR;CHALONS-EN-CHAMPAGNE;VESOUL
3;BASTIA;BAYONNE;BEZIERS;SAINT-NAZAIRE;PERPIGNAN;DUNKERQUE
4;BOBIGNY;CRETEIL;PONTOISE;EVRY;BEAUVAIS;NANCY
5;MARSEILLE;LYON;TOULOUSE;CHARTRES;PAU;CLERMONT-FERRAND
6;ALBI;BASTIA;PERIGUEUX;MONTAUBAN;NEVERS;MONT-DE-MARSAN
7;LAON;TROYES;SENLIS;BOURGES;POITIERS;REIMS
8;BASTIA;AJACCIO;MARSEILLE;PERPIGNAN;TOULON;LES SABLES-D'OLONNE
9;ANGERS;CAEN;ROUEN;TOULON;NANCY;METZ
10;LYON;NICE;TOULON;VERSAILLES;PAU;CLERMONT-FERRAND
11;PONTOISE;NANTERRE;BOBIGNY;EVRY;SENLIS;BEAUVAIS
12;VILLEFRANCHE-SUR-SAONE;BOURG-EN-BRESSE;CLERMONT-FERRAND;VIENNE;LE PUY-EN-VELAY;SAINT-ETIENNE
13;NEVERS;CLERMONT-FERRAND;DIJON;BOURGES;ORLEANS;MOULINS
14;BOURGES;POITIERS;COLMAR;TOURS;CLERMONT-FERRAND;SAINT-BRIEUC
15;BESANCON;TOURS;LE HAVRE;POITIERS;NANCY;BOULOGNE-SUR-MER
16;SAINT-ETIENNE;BOURG-EN-BRESSE;CHALON-SUR-SAONE;VALENCE;CLERMONT-FERRAND;AUXERRE
17;ANNECY;THONON-LES-BAINS;CHALON-SUR-SAONE;CLERMONT-FERRAND;CHAMBERY;LE PUY-EN-VELAY
18;LORIENT;TOURS;DRAGUIGNAN;LE HAVRE;COUTANCES;METZ
19;BELFORT;MONTBELIARD;MULHOUSE;VESOUL;BESANCON;LONS-LE-SAUNIER
20;MARSEILLE;LILLE;MEAUX;NANTERRE;SENLIS;LIMOGES
21;DOUAI;VALENCIENNES;ARRAS;BETHUNE;BOULOGNE-SUR-MER;AVESNES-SUR-HELPE
22;NANTERRE;CRETEIL;EVRY;PONTOISE;METZ;NANCY
23;AMIENS;DIEPPE;REIMS;SAINT-QUENTIN;LAON;SOISSONS
24;MONTPELLIER;GRENOBLE;CARPENTRAS;BEZIERS;PRIVAS;GAP
25;GRENOBLE;CAEN;TOULON;QUIMPER;LE PUY-EN-VELAY;NANCY
26;AIX-EN-PROVENCE;LILLE;DRAGUIGNAN;LORIENT;LISIEUX;SAINT-NAZAIRE
27;BERGERAC;ANGOULEME;SAINTES;PERIGUEUX;PAU;TARBES
28;LYON;VIENNE;STRASBOURG;MARSEILLE;NANCY;AUXERRE
29;BESANCON;STRASBOURG;NANCY;LYON;MULHOUSE;VESOUL
30;NANTERRE;CRETEIL;PONTOISE;EVRY;SENLIS;BEAUVAIS
31;COLMAR;DIJON;MULHOUSE;NANCY;TROYES;METZ
32;ANGOULEME;AGEN;SAINTES;PAU;PERIGUEUX;LIMOGES
33;EVREUX;ORLEANS;CHARTRES;ROUEN;AUXERRE;SENLIS
34;MONTAUBAN;TARBES;AGEN;NARBONNE;PAU;BEZIERS
35;POITIERS;ANGOULEME;PAU;BAYONNE;PERIGUEUX;LIMOGES
36;DIJON;BESANCON;VESOUL;LONS-LE-SAUNIER;BOURG-EN-BRESSE;BELFORT
37;VALENCIENNES;DUNKERQUE;ARRAS;DOUAI;BOULOGNE-SUR-MER;AVESNES-SUR-HELPE
38;BETHUNE;DOUAI;LILLE;ARRAS;AVESNES-SUR-HELPE;BOULOGNE-SUR-MER
39;PONTOISE;MARSEILLE;AVIGNON;TROYES;NANCY;PAU
40;CLERMONT-FERRAND;SAINT-BRIEUC;SAINT-MALO;BRIVE-LA-GAILLARDE;VANNES;QUIMPER
41;GRASSE;TOULON;BAYONNE;PAU;PERPIGNAN;LA ROCHELLE
42;CAEN;TOURS;ROUEN;LA ROCHE-SUR-YON;COUTANCES;SAINT-NAZAIRE
43;ANGERS;LA ROCHE-SUR-YON;SAINT-NAZAIRE;VANNES;LES SABLES-D'OLONNE;LE MANS
44;MACON;CHALON-SUR-SAONE;CHALONS-EN-CHAMPAGNE;TROYES;AUXERRE;CLERMONT-FERRAND
45;AGEN;MONTAUBAN;BEZIERS;PAU;TARBES;PERPIGNAN
46;CRETEIL;NANTERRE;LILLE;NANCY;LE HAVRE;BEAUVAIS
47;CHERBOURG;COUTANCES;ARGENTAN;ALENCON;CAEN;SAINT-MALO
48;MONTPELLIER;BEZIERS;NIMES;ALES;PERPIGNAN;CASTRES
49;GRENOBLE;CHAMBERY;ANNECY;THONON-LES-BAINS;BONNEVILLE;ALBERTVILLE
50;ANGERS;LA ROCHE-SUR-YON;RENNES;LE MANS;LES SABLES-D'OLONNE;CLERMONT-FERRAND
51;AVIGNON;NIMES;CARPENTRAS;TOULON;PRIVAS;GAP
52;SENLIS;BEAUVAIS;AMIENS;BOBIGNY;LILLE;COMPIEGNE
53;ANGOULEME;AGEN;SAINTES;PERIGUEUX;PAU;NIORT
54;CARPENTRAS;DIGNE-LES-BAINS;MARSEILLE;AVIGNON;TOULON;GAP
