1;TROYES //Vert;RENNES //Noir;ANGERS //Noir;EVREUX //Vert;ORLEANS //Rouge;CHARTRES //Orange;;;;;;
2;LIMOGES //Vert;BERGERAC //Vert;PERIGUEUX //Rouge;POITIERS //Rouge;BRIVE //Vert;NEVERS //Vert;;;;;;
3;BOBIGNY //Rouge;CRETEIL //Rouge;PARIS //Noir;MELUN //Noir;MEAUX //Orange;CHARTRES;;;;;;
4;BELFORT //Orange;CHALON SUR SAONE //Vert;MONTBELLIARD //Vert;DIJON //Noir;MACON //Vert;LONS-LE-SAUNIER //Vert;BAYONNE// Noir;LA ROCHELLE// Noir;TOURS// Noir;;;
5;ARRAS //Vert;BETHUNE //Vert;DOUAI //Orange;SAINT-OMER //Vert;LILLE //Rouge;CAMBRAI //Vert;DUNKERQUE //Rouge;AMIENS //Noir;;;;
6;MONTAUBAN //Rouge;ALBI //Orange;AUCH //Vert;PONTOISE //Rouge;MELUN //Noir;FOIX //Vert;;;;;;
7;RENNES //Noir;PARIS //Noir;CRETEIL //Rouge;TOULOUSE //Rouge;MONT-DE-MARSAN //Vert;ALENCON //Vert;;;;;;
8;COLMAR //Orange;BELFORT //Orange;STRASBOURG //Rouge;DIJON //Noir;METZ //Rouge;NANCY //Vert;MULHOUSE //Orange;EPINAL //Vert;THIONVILLE //Vert;;;
9;CRETEIL //Rouge;EVRY //Rouge;CHARTRES //Orange;BOBIGNY //Rouge;MEAUX //Orange;PONTOISE //Rouge;;;;;;
10;COUTANCES //Vert;LA ROCHE S/ YON //Vert;POITIERS //Rouge;LE MANS //Rouge;ANGERS //Noir;LA ROCHELLE  //Noir;;;;;;
11;RENNES //Noir;ORLEANS //Rouge;TOULON //Orange;CLERMONT FERRAND //Vert;MONT-DE-MARSAN //Vert;BOULOGNE SUR MER //Vert;;;;;;
12;EVRY //Rouge;MEAUX //Orange;MARSEILLE //Rouge;PONTOISE //Rouge;AMIENS //Noir;NANCY //Vert;;;;;;
13;ORLEANS //Rouge;AMIENS //Noir;NICE //Rouge;VALENCE //Rouge;ALBERTVILLE //Vert;CLERMONT FERRAND //Vert;POITIERS //Rouge;TARASCON //Vert;LIMOGES //Vert;BRIVE //Vert;;
14;LE MANS //Rouge;NIORT //Vert;BLOIS //Orange;LA ROCHE S/ YON //Vert;SAINT NAZAIRE //Vert;COUTANCES //Vert;;;;;;
15;PERPIGNAN //Rouge;NARBONNE //Orange;BEZIERS //Vert;CARCASSONNE //Vert;MONTPELLIER //Noir;NIMES //Rouge;;;;;;
16;CRETEIL //Rouge;BOBIGNY //Rouge;PONTOISE //Rouge;CHARTRES //Orange;NANCY //Vert;EVREUX //Vert;MEAUX //Orange;TROYES //Vert;COMPIEGNE //Vert;BEAUVAIS //Vert;SOISSONS //Vert;LAON //Vert
17;SAINT NAZAIRE //Vert;NANTES  //Noir;ANGERS //Noir;LA ROCHE S/ YON //Vert;LES SABLES D'OLONNE //Vert;LE MANS //Rouge;SAINT MALO //Vert;LAVAL //Vert;FONTAINEBLEAU //Rouge;MEAUX //Orange;POITIERS //Rouge;PONTOISE //Rouge
18;CRETEIL //Rouge;PARIS //Noir;NANTERRE //Noir;BOBIGNY //Rouge;MEAUX //Orange;EVREUX //Vert;;;;;;
19;NANTERRE //Noir;CRETEIL //Rouge;PONTOISE //Rouge;MELUN //Noir;DRAGUIGNAN //Vert;TOULON //Orange;EVRY //Rouge;;;;;
20;MEAUX //Orange;EVRY //Rouge;PONTOISE //Rouge;CRETEIL //Rouge;FONTAINEBLEAU //Rouge;BEAUVAIS //Vert;;;;;;
21;METZ //Rouge;MULHOUSE //Orange;COLMAR //Orange;STRASBOURG //Rouge;TROYES //Vert;NANCY //Vert;;;;;;
22;NANTERRE //Noir;LILLE //Rouge;REIMS //Noir;ARRAS //Vert;CHARTRES //Orange;COMPIEGNE //Vert;AMIENS //Noir;ORLEANS //Rouge;CHALONS EN CHAMPAGNE //Rouge;PONTOISE //Rouge;;
